"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 12 20:31:08 BDT 2024","Sat Oct 12 20:31:10 BDT 2024","1982","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_wrong_credentials","test_login_with_wrong_credentials",""
"passed","Sat Oct 12 20:29:42 BDT 2024","Sat Oct 12 20:29:46 BDT 2024","3301","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_invalid_email","test_login_with_invalid_email",""
"passed","Sat Oct 12 20:31:28 BDT 2024","Sat Oct 12 20:31:30 BDT 2024","1416","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_invalid_email_password","test_login_with_invalid_email_password",""
"passed","Sat Oct 12 20:29:22 BDT 2024","Sat Oct 12 20:29:24 BDT 2024","1658","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_wrong_email","test_login_with_wrong_email",""
"passed","Sat Oct 12 20:31:51 BDT 2024","Sat Oct 12 20:31:53 BDT 2024","2080","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_invalid_credentials","test_login_with_invalid_credentials",""
"passed","Sat Oct 12 20:29:03 BDT 2024","Sat Oct 12 20:29:05 BDT 2024","1913","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_invalid_password","test_login_with_invalid_password",""
"passed","Sat Oct 12 20:32:36 BDT 2024","Sat Oct 12 20:32:37 BDT 2024","561","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_invalid_credentials","test_login_with_invalid_credentials",""
"passed","Sat Oct 12 20:30:05 BDT 2024","Sat Oct 12 20:30:05 BDT 2024","301","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_without_email","test_login_with_without_email",""
"passed","Sat Oct 12 20:28:09 BDT 2024","Sat Oct 12 20:28:36 BDT 2024","26970","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_valid_credentials","Test with valid username and password","User trying to login with valid credentials"
"passed","Sat Oct 12 20:27:23 BDT 2024","Sat Oct 12 20:27:53 BDT 2024","30422","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestHomePage","Testcases.TestHomePage","testHomePageTitle","Loading home page","Home page"
"passed","Sat Oct 12 20:30:24 BDT 2024","Sat Oct 12 20:30:24 BDT 2024","253","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_without_password","test_login_with_without_password",""
"passed","Sat Oct 12 20:30:46 BDT 2024","Sat Oct 12 20:30:47 BDT 2024","529","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_without_credentials","test_login_with_without_credentials",""
"passed","Sat Oct 12 20:32:18 BDT 2024","Sat Oct 12 20:32:18 BDT 2024","606","All Test Suite","F:/javabasic & sqa/WebAutomationProject","Testcases.TestLoginPage","Testcases.TestLoginPage","test_login_with_invalid_credentials","test_login_with_invalid_credentials",""
